Type	Chr	initial_guess	pass_filter
ALU	chr1	1598152	False
ALU	chr1	1925114	False
ALU	chr1	5934315	True
ALU	chr1	10028640	False
ALU	chr1	11031168	True
ALU	chr1	11069132	True
ALU	chr1	13796492	False
ALU	chr1	13854530	False
ALU	chr1	15022028	False
ALU	chr1	15490148	True
ALU	chr1	15510699	True
ALU	chr1	16637535	True
ALU	chr1	16750576	True
ALU	chr1	17230323	False
ALU	chr1	17233904	False
ALU	chr1	19798416	True
ALU	chr1	20257187	False
ALU	chr1	20931665	False
ALU	chr1	20932960	False
ALU	chr1	22287369	False
ALU	chr1	22287970	False
ALU	chr1	23981053	True
ALU	chr1	24941288	True
ALU	chr1	26853254	False
ALU	chr1	28205001	True
ALU	chr1	28722463	False
ALU	chr1	28745572	True
ALU	chr1	28838783	True
ALU	chr1	28898280	True
ALU	chr1	29227874	False
ALU	chr1	29321462	True
ALU	chr1	29382120	False
ALU	chr1	29426899	False
ALU	chr1	33108503	False
ALU	chr1	37215755	True
ALU	chr1	38432765	True
ALU	chr1	39415493	True
ALU	chr1	39998118	False
ALU	chr1	41518841	True
ALU	chr1	42743586	False
ALU	chr1	44059362	True
ALU	chr1	44208897	True
ALU	chr1	45795685	True
ALU	chr1	46176736	False
ALU	chr1	46232481	True
ALU	chr1	47029677	False
ALU	chr1	55706163	False
ALU	chr1	56879130	True
ALU	chr1	58071906	True
ALU	chr1	59205403	True
ALU	chr1	59591510	True
ALU	chr1	59871953	True
ALU	chr1	64958094	True
ALU	chr1	66055902	True
ALU	chr1	70027734	False
ALU	chr1	70061633	True
ALU	chr1	70912429	True
ALU	chr1	72514098	True
ALU	chr1	72639105	True
ALU	chr1	75301717	True
ALU	chr1	77765021	True
ALU	chr1	78448245	True
ALU	chr1	78607080	True
ALU	chr1	79108854	True
ALU	chr1	79331290	True
ALU	chr1	79582110	True
ALU	chr1	80299119	True
ALU	chr1	80853132	False
ALU	chr1	81524206	True
ALU	chr1	81766108	True
ALU	chr1	84834027	False
ALU	chr1	84913289	True
ALU	chr1	86347697	False
ALU	chr1	86462240	True
ALU	chr1	88037234	False
ALU	chr1	88813683	True
ALU	chr1	89219433	True
ALU	chr1	90150578	False
ALU	chr1	90151177	False
ALU	chr1	93167545	True
ALU	chr1	93498299	True
ALU	chr1	93839418	False
ALU	chr1	94364876	False
ALU	chr1	99610568	True
ALU	chr1	100994204	True
ALU	chr1	101158928	False
ALU	chr1	105231183	True
ALU	chr1	106136817	False
ALU	chr1	106331079	False
ALU	chr1	107207969	False
ALU	chr1	109597714	True
ALU	chr1	110191595	False
ALU	chr1	112992034	True
ALU	chr1	115201427	True
ALU	chr1	119080745	True
ALU	chr1	120392980	False
ALU	chr1	146658175	True
ALU	chr1	149218078	False
ALU	chr1	155924500	True
ALU	chr1	156058263	False
ALU	chr1	157019300	True
ALU	chr1	157541096	True
ALU	chr1	159592980	False
ALU	chr1	160047721	False
ALU	chr1	160952987	True
ALU	chr1	161031214	True
ALU	chr1	162761383	True
ALU	chr1	163088945	True
ALU	chr1	164928013	False
ALU	chr1	165659273	True
ALU	chr1	167858097	False
ALU	chr1	168909684	False
ALU	chr1	170603340	False
ALU	chr1	170964028	True
ALU	chr1	174333028	True
ALU	chr1	179491950	True
ALU	chr1	180755443	True
ALU	chr1	181044138	True
ALU	chr1	181047443	True
ALU	chr1	181588381	True
ALU	chr1	181601286	True
ALU	chr1	182420910	True
ALU	chr1	185504721	True
ALU	chr1	187626419	False
ALU	chr1	188174719	True
ALU	chr1	188186456	True
ALU	chr1	188832919	True
